"Time","NERSC-Perlmutter-CPU"
2025-10-01 05:30:00,116
2025-10-01 06:00:00,116
2025-10-01 06:30:00,116
2025-10-01 07:00:00,116
2025-10-01 07:30:00,116
2025-10-01 08:00:00,116
2025-10-01 08:30:00,116
2025-10-01 09:00:00,116
2025-10-01 09:30:00,116
2025-10-01 10:00:00,116
2025-10-01 10:30:00,116
2025-10-01 11:00:00,116
2025-10-01 11:30:00,116
2025-10-01 12:00:00,116
2025-10-01 12:30:00,116
2025-10-01 13:00:00,53
2025-10-01 13:30:00,
2025-10-01 14:00:00,
2025-10-01 14:30:00,
2025-10-01 15:00:00,
2025-10-01 15:30:00,
2025-10-01 16:00:00,
2025-10-01 16:30:00,
2025-10-01 17:00:00,
2025-10-01 17:30:00,
2025-10-01 18:00:00,
2025-10-01 18:30:00,
2025-10-01 19:00:00,
2025-10-01 19:30:00,
2025-10-01 20:00:00,158
2025-10-01 20:30:00,383
2025-10-01 21:00:00,398
2025-10-01 21:30:00,398
2025-10-01 22:00:00,398
2025-10-01 22:30:00,398
2025-10-01 23:00:00,398
2025-10-01 23:30:00,398
2025-10-02 00:00:00,398
2025-10-02 00:30:00,398
2025-10-02 01:00:00,398
2025-10-02 01:30:00,398
2025-10-02 02:00:00,398
2025-10-02 02:30:00,592
2025-10-02 03:00:00,789
2025-10-02 03:30:00,796
2025-10-02 04:00:00,796
2025-10-02 04:30:00,796
2025-10-02 05:00:00,796
2025-10-02 05:30:00,796
2025-10-02 06:00:00,847
2025-10-02 06:30:00,1170
2025-10-02 07:00:00,1081
2025-10-02 07:30:00,1179
2025-10-02 08:00:00,1194
2025-10-02 08:30:00,1194
2025-10-02 09:00:00,1225
2025-10-02 09:30:00,1539
2025-10-02 10:00:00,1592
2025-10-02 10:30:00,1592
2025-10-02 11:00:00,1592
2025-10-02 11:30:00,1592
2025-10-02 12:00:00,1592
2025-10-02 12:30:00,1675
2025-10-02 13:00:00,1943
2025-10-02 13:30:00,1942
2025-10-02 14:00:00,1989
2025-10-02 14:30:00,1990
2025-10-02 15:00:00,1990
2025-10-02 15:30:00,1990
2025-10-02 16:00:00,1990
2025-10-02 16:30:00,1990
2025-10-02 17:00:00,1966
2025-10-02 17:30:00,1966
2025-10-02 18:00:00,2303
2025-10-02 18:30:00,2387
2025-10-02 19:00:00,2388
2025-10-02 19:30:00,2387
2025-10-02 20:00:00,2326
2025-10-02 20:30:00,2363
2025-10-02 21:00:00,2387
2025-10-02 21:30:00,2388
2025-10-02 22:00:00,2388
2025-10-02 22:30:00,2388
2025-10-02 23:00:00,2380
2025-10-02 23:30:00,2269
2025-10-03 00:00:00,2357
2025-10-03 00:30:00,2274
2025-10-03 01:00:00,2202
2025-10-03 01:30:00,2202
2025-10-03 02:00:00,2202
2025-10-03 02:30:00,2202
2025-10-03 03:00:00,2202
2025-10-03 03:30:00,2195
2025-10-03 04:00:00,2077
2025-10-03 04:30:00,1428
2025-10-03 05:00:00,1041
2025-10-03 05:30:00,1011
2025-10-03 06:00:00,1011
2025-10-03 06:30:00,970
2025-10-03 07:00:00,736
2025-10-03 07:30:00,616
2025-10-03 08:00:00,613
2025-10-03 08:30:00,612
2025-10-03 09:00:00,610
2025-10-03 09:30:00,602
2025-10-03 10:00:00,473
2025-10-03 10:30:00,105
2025-10-03 11:00:00,1
2025-10-03 11:30:00,
2025-10-03 12:00:00,
2025-10-03 12:30:00,
2025-10-03 13:00:00,
2025-10-03 13:30:00,
2025-10-03 14:00:00,
2025-10-03 14:30:00,
2025-10-03 15:00:00,
2025-10-03 15:30:00,
2025-10-03 16:00:00,
2025-10-03 16:30:00,
2025-10-03 17:00:00,
2025-10-03 17:30:00,
2025-10-03 18:00:00,
2025-10-03 18:30:00,
2025-10-03 19:00:00,
2025-10-03 19:30:00,
2025-10-03 20:00:00,
2025-10-03 20:30:00,
2025-10-03 21:00:00,
2025-10-03 21:30:00,
2025-10-03 22:00:00,
2025-10-03 22:30:00,
2025-10-03 23:00:00,
2025-10-03 23:30:00,
2025-10-04 00:00:00,
2025-10-04 00:30:00,
2025-10-04 01:00:00,
2025-10-04 01:30:00,
2025-10-04 02:00:00,
2025-10-04 02:30:00,
2025-10-04 03:00:00,
2025-10-04 03:30:00,
2025-10-04 04:00:00,
2025-10-04 04:30:00,
2025-10-04 05:00:00,
2025-10-04 05:30:00,
2025-10-04 06:00:00,
2025-10-04 06:30:00,1
2025-10-04 07:00:00,
